央视,#genre#
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225934/index.m3u8?servicetype=1
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225654/index.m3u8?servicetype=1
CCTV-1综合,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1综合,https://migu.188766.xyz/?migutoken=9835b51582dd7ceadbbe6f7786fc81eb&id=CCTV1&type=yy
CCTV-1综合,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225934/index.m3u8?servicetype=3&playseek={
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225654/index.m3u8?servicetype=3&playseek={
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225934/index.m3u8?servicetype=3
CCTV-1综合,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225654/index.m3u8?servicetype=3
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225948/index.m3u8?servicetype=1
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225657/index.m3u8?servicetype=1
CCTV-2财经,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-2财经,https://migu.188766.xyz/?migutoken=10b3a498c8ca314272f431b1e877bff2&id=CCTV2&type=yy
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225948/index.m3u8?servicetype=3&playseek={
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225657/index.m3u8?servicetype=3&playseek={
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225948/index.m3u8?servicetype=3
CCTV-2财经,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225657/index.m3u8?servicetype=3
CCTV-3综艺,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225916/index.m3u8?servicetype=1
CCTV-3综艺,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225713/index.m3u8?servicetype=1
CCTV-3综艺,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-3综艺,http://182.91.124.61:8801/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://182.91.124.224:8801/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3综艺,http://182.91.124.60:8801/tsfile/live/1039_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-4中文国际,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225922/index.m3u8?servicetype=1
CCTV-4中文国际,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225761/index.m3u8?servicetype=1
CCTV-4中文国际,https://migu.188766.xyz/?migutoken=ff25cd670f0b0590139042ee206443c7&id=CCTV4&type=yy
CCTV-4中文国际,https://migu.188766.xyz/?migutoken=6c030592f960d3fbf6e214ecd76d49b5&id=CCTV4%E6%AC%A7%E6%B4%B2&type=yy
CCTV-5体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225801/index.m3u8?servicetype=1
CCTV-5体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225925/index.m3u8?servicetype=1
CCTV-5体育,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225660/index.m3u8?servicetype=1
CCTV-5体育,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV-5体育,http://182.91.124.61:8801/tsfile/live/1041_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225998/index.m3u8?servicetype=1
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225712/index.m3u8?servicetype=1
CCTV-5+体育赛事,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV-5+体育赛事,http://36.136.13.250:8811/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225998/index.m3u8?servicetype=3&playseek={
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225712/index.m3u8?servicetype=3&playseek={
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225998/index.m3u8?servicetype=3
CCTV-5+体育赛事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225712/index.m3u8?servicetype=3
CCTV-6电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225936/index.m3u8?servicetype=1
CCTV-6电影,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225715/index.m3u8?servicetype=1
CCTV-6电影,http://182.91.124.61:8801/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV-6电影,http://182.91.124.224:8801/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,http://182.91.124.60:8801/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-6电影,https://migu.188766.xyz/?migutoken=75c70552ed7600a6d7b08b33e8ca40ad&id=CCTV6&type=yy
CCTV-7国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225892/index.m3u8?servicetype=1
CCTV-7国防军事,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225700/index.m3u8?servicetype=1
CCTV-7国防军事,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV-7国防军事,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8
CCTV-7国防军事,https://migu.188766.xyz/?migutoken=10ea76348c4e60db3f948a150bb6b346&id=CCTV7&type=yy
CCTV-7国防军事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225892/index.m3u8?servicetype=3&playseek={
CCTV-7国防军事,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225700/index.m3u8?servicetype=3&playseek={
CCTV-8电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226001/index.m3u8?servicetype=1
CCTV-8电视剧,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225716/index.m3u8?servicetype=1
CCTV-8电视剧,http://182.91.124.61:8801/tsfile/live/1044_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视剧,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV-8电视剧,http://182.91.124.60:8801/tsfile/live/1044_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视剧,http://182.91.124.224:8801/tsfile/live/1044_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-8电视剧,https://migu.188766.xyz/?migutoken=dd2ac7d04e9812db161684acc523578d&id=CCTV8&type=yy
CCTV-9纪录,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225939/index.m3u8?servicetype=1
CCTV-9纪录,http://cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225663/index.m3u8?servicetype=1
CCTV-9纪录,https://migu.188766.xyz/?migutoken=f5ca4e95caff3afcd30489d69eb79560&id=CCTV9&type=yy
CCTV-9纪录,http://cdnrrs.gx.chinamobile.com/TVOD/77777777/224/3221225939/index.m3u8?servicetype=3&playseek={
